"ID","Filial","Type_ts","passport_region","VIP","Brand","Model","Yr_production","GAP","married","KBM","KBM_prol_est","delta_kbm","deduct","deduct_amount","product","Bank","channel - map","category","kvs_type","Age","Exp","discount","Amount - gr","sex","premium_car","price_gr","price_prc","OSAGO_clnt","target"
"1","Магнитогорский","Иностранные","Челябинская область","","TOYOTA","RAV 4","2018","Нет","Состоит в браке","8","6","-2","Франшиза 2-ой страховой случай","20000+","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","42","24","1","1400000","M","0","55000","0.04","0","0"
"2","Магнитогорский","Отечественные","Челябинская область","","LADA","GRANTA","2016","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Компакт","Банк","Автосалоны","RN","Водители согласно перечню","41","4","1.05","200000","M","0","10000","0.01","0","0"
"3","Ростовский","Отечественные","Ростовская область","","LADA","GRANTA","2018","Нет","Не состоит в браке","8","6","-2","Без франшизы","0","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","49","20","0.95","400000","F","0","30000","0.065","1","1"
"4","Казанский","Иностранные","Республика Татарстан","","KIA","RIO","2016","Нет","Не состоит в браке","8","6","-2","Без франшизы","0","Компакт","Сетелем","Автосалоны","RN","Водители согласно перечню","40","15","1.1","400000","M","0","10000","0.02","1","0"
"5","Московский","Иностранные","Москва","","DATSUN","ON-DO","2018","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Компакт","Без банка","Розница","NB 0-1","Водители согласно перечню","58","23","1","400000","M","0","10000","0.015","0","0"
"6","Самарский","Отечественные","Самарская область","","CHEVROLET","NIVA","2016","Да","Состоит в браке","6","4","-2","Без франшизы","0","Классика","Банк","Розница","RN","Водители согласно перечню","47","20","1.1","400000","M","0","10000","0.025","1","1"
"7","Новосибирский","Иностранные","Новосибирская область","","NISSAN","QASHQAI","2012","Нет","Состоит в браке","0","0","-100","Без франшизы","0","Классика","Без банка","Розница","RN","Водители согласно перечню","70","18","1","400000","F","0","20000","0.055","1","0"
"8","Московский","Иностранные","Московская область","","TOYOTA","LAND CRUISER","2017","Нет","Состоит в браке","6","5","-1","Без франшизы","0","Классика","Без банка","Автосалоны","RN sppg","Водители согласно перечню","62","39","1.1","3000000","M","1","70000","0.025","1","1"
"9","Санкт - Петербургский","Отечественные","Санкт-Петербург","","LADA","LARGUS","2015","Нет","Состоит в браке","2","0","-2","Без франшизы","0","Классика","Без банка","Автосалоны","RN","Водители согласно перечню","69","28","1","400000","M","0","15000","0.035","0","1"
"10","Белгородский","Иностранные","Белгородская область","","RENAULT","DUSTER","2017","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Компакт","Банк","Розница","NB 0-1","Водители согласно перечню","64","27","1.1","600000","M","0","10000","0.01","1","0"
"11","Московский","Иностранные","Москва","","KIA","SORENTO","2013","Нет","Не состоит в браке","0","0","-100","Без франшизы","0","Классика","Без банка","Автосалоны","RN sppg","Водители согласно перечню","46","18","1.1","1000000","M","0","25000","0.02","1","1"
"12","Белгородский","Иностранные","Белгородская область","","MAZDA","CX-5","2018","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Уверенный","Без банка","Розница","NB 0-1","Водители согласно перечню","28","5","1","2000000","F","0","50000","0.02","1","1"
"13","Ростовский","Иностранные","Ростовская область","","VOLKSWAGEN","TIGUAN","2018","Да","Состоит в браке","8","6","-2","Франшиза 2-ой страховой случай","20000-","Классика","Без банка","Розница","NB 0-1","Водители согласно перечню","66","24","1","1800000","M","0","35000","0.015","1","0"
"14","Уфимский","Отечественные","Республика Башкортостан","","LADA","LARGUS","2018","Нет","Не состоит в браке","8","6","-2","Безусловная франшиза","20000-","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","48","12","1","600000","M","0","25000","0.04","0","0"
"15","Воронежский","Иностранные","Воронежская область","","VOLKSWAGEN","TIGUAN","2017","Нет","Состоит в браке","6","4","-2","Без франшизы","0","Уверенный","Без банка","Автосалоны","RN","Водители согласно перечню","47","17","1","1800000","M","0","35000","0.02","1","0"
"16","Челябинский","Иностранные","Ханты-Мансийский автономный округ – Югра","","KIA","CEED","2018","Нет","Не состоит в браке","8","6","-2","Безусловная франшиза","20000+","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","24","1","1.05","1000000","M","0","70000","0.065","0","0"
"17","Екатеринбургский","Иностранные","Свердловская область","","KIA","RIO","2017","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Классика","Сетелем","Розница","RN","Водители согласно перечню","45","26","1","600000","F","0","40000","0.06","1","0"
"18","Московский","Отечественные","Московская область","","LADA","LARGUS","2017","Да","Не состоит в браке","8","6","-2","Без франшизы","0","Компакт","Без банка","Автосалоны","RN","Ограничение по стажу и возрасту, без ограничения количества лиц","25","5","1","400000","M","0","10000","0.015","0","0"
"19","Московский","Иностранные","Ханты-Мансийский автономный округ – Югра","","BMW","X6","2018","Нет","Состоит в браке","8","6","-2","Франшиза 2-ой страховой случай","20000-","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","35","17","1.1","3000000","M","1","70000","0.03","0","0"
"20","Санкт - Петербургский","Иностранные","Ленинградская область","","KIA","CEED","2018","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","38","18","0.9","1000000","M","0","55000","0.05","0","0"
